"Would you like to see the Supreme Court overturn its 1973 Roe v. Wade decision concerning abortion, or not?",,,
,"Yes, overturn","No, not overturn",No opinion
,%,%,%
2022 May 2-22 ^,35,58,7
2021 May 3-18 ^,32,58,10
2019 Jun 3-16,33,60,7
2018 Jul 2-8,28,64,9
2012 Dec 27-30,29,53,18
2008 May 8-11,33,52,15
2007 May 10-13,35,53,12
2006 May 8-11,32,55,13
2006 Jan 20-22,25,66,9
2005 Jul 7-10 ^,28,63,9
2002 Mar 22-24,36,60,4
1992 Aug 13-14,34,60,6
1989 Oct 5-8,33,61,6
1989 Jul 6-7,31,58,11
^ Asked of a half sample,,,
